KDS網頁,#genre#
parse=1

緯來日本,kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/videoland-japan-channel
緯來綜合,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/videoland-ontv
緯來電影,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/videoland-movie
緯來體育,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/videoland-sports-channel
緯來育樂,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/videoland-max-tv
緯來精彩,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/videoland-gtv

東森幼幼,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/yoyo-tv
東森電影,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ettv-movie
東森洋片,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ettv-western
好萊塢電影,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/hollywood-movies
龍華洋片,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/lunghua-western
龍華經典,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/longhua-classic
龍祥時代,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ls-time
HBO電影,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/hbo
HBO獨特,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/hbo-signature-taiwan
衛視中文台,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/star-movies-chinese
美亞電影,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/matv
EYE旅遊,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/eye-tv-travel
EYE戲劇,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/eye-tv-drama
三立台灣,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/sanli-taiwan
三立戲劇,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/sanli-drama
三立國際,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/sanli-metro
三立都會,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/set-metro
三立戲劇,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/sanli-drama
東森綜合,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ettv-metro
東森戲劇,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ettv-drama
TVBS新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/tvbs-news
東森新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ettv-news
東森財經新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ettv-business
民視新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ftv-news
中天新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/cti-news
非凡新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/unique-business-news
寰宇新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/global-news
年代新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/era-news
中視新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ctv-news-channel
台視新聞,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ttv-news
中視,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/cts
台視,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/ttv
八大第一台,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/gtv-first
八大綜合台,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/gtv-metro
八大戲劇台,https://www.kds.tw/tv/china-tv-channels-online/taiwan-tv-channels-online/gtv-drama
ELTA體育1台,https://www.kds.tw/tv/sports-tv-live-streaming/elta-sports-1/
ELTA體育2台,https://www.kds.tw/tv/sports-tv-live-streaming/elta-sports-2/
ELTA體育3台,https://www.kds.tw/tv/sports-tv-live-streaming/elta-sports-3/
寰宇台灣台,https://www.4gtv.tv/channel/4gtv-4gtv156?set=1&ch=280
